Reference #,Item,Portion Size,Calories,Protein (g),Protein (%DV),Sodium (mg),Sodium (%DV),Fats (g),Fats (%DV),Carbohydrates (g),Carbohydrates (%DV),Fiber (g),Fiber (%DV),Cholesterol (mg),Cholesterol (%DV),Saturated Fat (g),Saturated Fat (%DV),Trans Fat (g),Trans Fat (%DV),Total Sugars (g),Total Sugars (%DV)
BD01,Orange Juice,1 Cup,160,2,4%,5,0%,0,0%,37,13%,0,0%,0,0%,0,0%,0,0%,33,67%
BD02,Vanilla Latte,1 Cup,380,10,20%,200,9%,8,10%,64,24%,0,0%,30,10%,5,26%,0,0%,60,125%
BD03,Milk,1 Cup,160,8,16%,125,5%,8,10%,13,5%,0,0%,35,12%,5,26%,0,0%,12,25%
BD04,Water,1 Cup,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
BD05,Hot Tea,1 Cup,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,10,21%
BM01,Waffle,1 Waffle,660,9,18%,630,28%,27,35%,92,33%,1,4%,85,29%,5,25%,0,0%,43,90%
BM02,Pancakes,3 Pancakes,360,5,11%,520,23%,8,10%,67,25%,1,4%,0,0%,1,5%,0,0%,34,71%
BM03,Omelette,1 Omelette,280,18,37%,822,36%,20,26%,4,2%,0,0%,426,142%,8,42%,0,0%,2,4%
BM04,Oatmeal,1 Bowl,410,12,24%,275,13%,12,15%,59,22%,6,20%,35,12%,5,25%,0,0%,20,37%
BM05,Frosted Flakes,1 Bowl,290,10,20%,315,13%,6,8%,46,17%,1,4%,35,12%,5,25%,0,0%,24,50%
BM06,Yogurt Parfait,1 Bowl,460,23,44%,105,5%,17,22%,55,19%,14,56%,25,8%,6,31%,0,0%,21,44%
BM07,Bagel w Cream Cheese,1 Bagel,320,11,22%,590,26%,8.5,11%,52,18%,4,13%,25,8%,4.5,23%,0,0%,8,14%
BM08,Avocado Toast,1 Slice,260,6,13%,227,11%,16,25%,30.5,10%,9.5,38%,0,0%,2,10%,0,0%,5,10%
BS01,Bacon,3 Slices,160,12,24%,580,25%,12,15%,0,0%,0,0%,35,12%,0,0%,0,0%,0,0%
BS02,Sausage,2 Patties,240,12,24%,340,14%,20,26%,0,0%,0,0%,60,20%,7,34%,0,0%,0,0%
BS03,Scrambled Eggs,2 Eggs,187,13,26%,196,9%,14.5,19%,0,0%,0,0%,434,145%,4,21%,0,0%,1,1%
BS04,Toast w butter,2 Slices,290,8,16%,535,24%,13,15%,44,8%,6,22%,15,5%,3.5,18%,0,0%,8,14%
BS05,Hash Browns,2 Patties,280,4,8%,500,22%,16,20%,30,10%,4,14%,0,0%,4,20%,0,0%,1,1%
BS06,Orange,1 Orange,70,2,4%,0,0%,0,0%,18,7%,4,14%,0,0%,0,0%,0,0%,14,27%
BS07,Blueberries,1 Cup,70,1,2%,0,0%,0,0%,16,5%,0,0%,0,0%,0,0%,0,0%,10,21%
DD01,Apple Juice,1 Cup,140,0,0%,25,1%,0,0%,34,12%,0,0%,0,0%,0,0%,0,0%,32,66%
DD02,Milk,1 Cup,160,8,16%,125,5%,8,10%,13,5%,0,0%,35,12%,5,26%,0,0%,12,25%
DD03,Water,1 Cup,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
DD04,Soda,1 Cup,190,0,0%,60,3%,0,0%,52,19%,0,0%,0,0%,0,0%,0,0%,52,108%
DD05,Lemonade,1 Cup,160,0,0%,20,1%,0,0%,42,15%,0,0%,0,0%,0,0%,0,0%,40,83%
DM01,Spaghetti & Meatballs,1 Plate,800,33,66%,1340,58%,30,38%,99,36%,10,36%,75,25%,0,0,0,0%,0,0%
DM02,Cheese Pizza,1 Slice,300,10,20%,620,27%,12,26%,39,14%,4,15%,20,7%,5,26%,0,0,3,5%
DM03,Chicken Fingers,4 Fingers,420,29,58%,1320,57%,18,22%,38,13%,0,0%,75,25%,3.5,18%,0,0%,1,1%
DM04,Salmon,1 Fillet,140,20,40%,550,23%,10,13%,0,0%,0,0%,60,20%,4,20%,0,0%,0,0%
DM05,Chicken Burrito,1 Burrito,450,31,62%,650,29%,18,22%,51,18%,2,8%,60,20%,8,40%,0,0%,5,7%
DM06,Steak,8oz Steak,610,50,100%,130,6%,8,12%,0,0%,0,0%,130,44%,3,14%,0,0%,0,0%
DM07,Ribs,3 Ribs,300,18,36%,400,16%,26,31%,0,0%,0,0%,85,29%,8,38%,0,0%,0,0%
DS01,Chicken Noodle Soup,1 Bowl,240,18,36%,1580,68%,6,8%,28,10%,2,8%,60,20%,2,10%,0,0%,4,6%
DS02,Mac & Cheese,1 Bowl,320,12,24%,900,39%,11,14%,41,15%,1,4%,15,6%,3,15%,0,0%,4,6%
DS03,Black Beans,1 Bowl,100,6,12%,15,1%,0.5,1%,19,7%,6,21%,0,0%,0,0%,0,0%,1,1%
DS04,Green Beans,1 Bowl,30,2,4%,580,26%,0,0%,6,2%,2,8%,0,0%,0,0%,0,0%,2,4%
DS05,Peas,1 Bowl,70,5,10%,0,0%,0,0%,11,4%,4,14%,0,0%,0,0%,0,0%,4,6%
DS06,Rice,1 Bowl,170,4,8%,0,0%,0,0%,38,14%,0,0%,0,0%,0,0%,0,0%,0,0%
DS07,Mashed Potatos,1 Bowl,150,3,6%,460,20%,7,9%,20,7%,2,7%,10,3%,2.5,13%,0,0%,2,4%
DS08,Strawberries,1 Bowl,50,1,2%,2,0%,0,0%,12,4%,3,12%,0,0%,0,0%,0,0%,7,12%
LD01,Apple Juice,1 Cup,140,0,0%,25,1%,0,0%,34,12%,0,0%,0,0%,0,0%,0,0%,32,66%
LD02,Milk,1 Cup,160,8,16%,125,5%,8,10%,13,5%,0,0%,35,12%,5,26%,0,0%,12,25%
LD03,Water,1 Cup,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
LD04,Soda,1 Cup,190,0,0%,60,3%,0,0%,52,19%,0,0%,0,0%,0,0%,0,0%,52,108%
LD05,Lemonade,1 Cup,160,0,0%,20,1%,0,0%,42,15%,0,0%,0,0%,0,0%,0,0%,40,83%
LM01,Cheeseburger,1 Burger,350,15,30%,720,31%,13,17%,31,11%,2,7%,40,13%,6,30%,0.5,2.50%,6,10%
LM02,Chicken Nuggets,6 Nuggets,270,15,30%,810,35%,15,19%,18,7%,2,7%,40,13%,3,15%,0,0%,0,0%
LM03,Grilled Cheese,1 Grilled Cheese,220,8,16%,510,22%,6,8%,32,12%,0,0%,15,5%,2.5,13%,0,0%,6,10%
LM04,Hot Dog,1 Hotdog,300,10,20%,920,40%,16,21%,30,10%,0,0%,30,10%,6,30%,0.5,2.50%,8,14%
LM05,Pepperoni Pizza,1 Slice,320,13,26%,740,32%,11,14%,42,15%,2,7%,25,8%,4.5,23%,0,0%,4,6%
LM06,Peanut Butter & Jelly,1 Sandwich,380,11,22%,420,18%,18,23%,47,17%,2,7%,0,0%,3.5,18%,0,0%,19,34%
LM07,Instant Ramen,1 Cup,160,7,14%,870,38%,2,3%,28,10%,3,11%,0,0%,0,0%,0,0%,3,5%
LM08,Sub Sandwich,1 Sandwich,430,30,60%,1870,81%,12,15%,47,17%,3,11%,65,22%,5,25%,0,0%,8,14%
LS01,Garden Salad,1 Salad,150,2,4%,320,14%,12,15%,8,3%,2,7%,10,3%,2,10%,0,0%,5,7%
LS02,French Fries,1 Basket,240,4,8%,680,30%,9,12%,38,14%,2,7%,0,0%,1,5%,0,0%,0,0%
LS03,Tomato Soup,1 Cup,140,4,8%,800,35%,0,0%,34,12%,0,0%,0,0%,0,0%,0,0%,20,37%
LS04,Potato Chips,1 Bag,160,2,4%,170,7%,10,13%,15,5%,1,4%,0,0%,1.5,8%,0,0%,0.5,1%
LS05,Apple,1 Apple,30,0,0%,0,0%,0,0%,7,3%,1,4%,0,0%,0,0%,0,0%,6,10%
LS06,Banana,1 Banana,100,1,2%,0,0%,0,0%,27,10%,3,11%,0,0%,0,0%,0,0%,14,27%
LS07,Baby Carrots,10 Baby Carrots,60,1,2%,130,6%,0,0%,14,5%,6,21%,0,0%,0,0%,0,0%,8,14%
SD01,Cookies,1 cookie,150,2,4%,120,5%,6,8%,22,8%,0,0%,5,2%,2,10%,0,0%,12,25%
SD02,Donuts,1 donut,300,3,6%,270,12%,18,23%,32,12%,0,0%,10,3%,10,50%,0,0%,15,27%
SD03,Ice Cream,1 cup,275,5,10%,68,4%,12,15%,30,11%,0,3%,45,13%,8,45%,0,0%,28,55%
SD04,Chocolate Cake,1 slice,390,3,6%,280,12%,19,24%,53,19%,0,0%,50,17%,5,25%,0,0%,40,83%
SD05,Cheesecake,1 slice,330,5,10%,200,9%,20,26%,35,13%,2,7%,35,12%,8,40%,0,0%,19,34%
SD06,Frozen Yogurt,1 cup,200,6,12%,100,5%,0,0%,41,15%,0,0%,0,0%,0,0%,0,0%,30,60%
SD07,Milkshake,1 shake,920,2,4%,600,25%,50,53%,103,31%,0,0%,255,63%,28,110%,0,0%,90,150%
SD08,Brownie,1 brownie,170,1,2%,75,3%,9,12%,21,8%,1,4%,0,0%,2,10%,0,0%,12,25%
SD09,Jello,1 cup,10,1,2%,40,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
SD10,Pumpkin pie,1 slice,320,7,14%,340,15%,10,13%,53,19%,2,7%,40,13%,5,25%,0,0%,37,77%
SS01,Popcorn,1 cup,150,2,4%,320,15%,10,15%,14,4%,3,10%,0,0%,1,4%,0,0%,0,0%
SS02,Cheese puffs,30 puffs,140,2,4%,260,11%,9,11%,15,5%,0,0%,0,0%,1,4%,0,0%,1,1%
SS03,Soda crackers,5 crackers,60,1,2%,130,6%,1.5,2%,11,4%,0,0%,0,0%,0,0%,0,0%,0,0%
SS04,Trail mix,1 cup,150,4,8%,70,3%,10,13%,12,5%,2,7%,0,0%,2,10%,0,0%,10,21%
SS05,Pickle wedge,1 wedge,0,0,0%,290,13%,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%
SS06,Celery sticks,4 sticks,24,1,2%,128,6%,0,0%,5,1%,2,0%,0,0%,0,0%,0,0%,2,4%
SS07,Grapes,1 cup,104,2,4%,4,0%,0,0%,28,10%,2,4%,0,0%,0,0%,0,0%,24,50%
SS08,Beef Jerky,6 pieces,160,20,40%,1240,54%,2,3%,10,5%,0,0%,50,12%,0,0%,0,0%,10,21%
SS09,Pudding Cup,1 cup,100,0,0%,115,5%,3,4%,17,6%,1,2%,0,0%,1.5,8%,0,0%,12,25%
SS10,Candy bar,1 bar,250,4,8%,115,5%,14,18%,29,11%,1,4%,0,0%,10,50%,0,0%,21,44%